Business Date,Sedol,ISIN,FIGI,Ticker,BBGID,Name,Offer Rate,Bid Rate,Last Rate,Short Momentum,Short Interest,ShortInterestNotional,ShortInterestPct,S3Float,S3SIPctFloat,IndicativeAvailability,S3Utilization,DaysToCover10Day,DaysToCover30Day,DaysToCover90Day,Crowded Score,Squeeze Score,Original SI
4/27/21,BMF9NM8,US00827B1061,BBG00Y7BP8Y1,AFRM,AFRM US,AFFIRM HLDGS INC,0.56,0.32,0.48,-3.77,8530017.6,665085472.27,0.0911,102170561.6,0.0835,5.58E+06,60.4719,4.79213664246633,4.64325281778999,2.63114523058871,42.5,72.5,9167838
4/28/21,BMF9NM8,US00827B1061,BBG00Y7BP8Y1,AFRM,AFRM US,AFFIRM HLDGS INC,0.56,0.39,0.52,0,8500281.6,649166505.79,0.0908,102140825.6,0.0832,5.59E+06,60.356,5.22590314447545,4.70628317819723,2.64786978145518,42.5,62.5,9132104
4/29/21,BMF9NM8,US00827B1061,BBG00Y7BP8Y1,AFRM,AFRM US,AFFIRM HLDGS INC,0.56,0.39,0.63,0,8461810.7,653336404.15,0.0904,102102354.7,0.0829,5.69E+06,59.7844,5.33186981931601,4.7254654788145,2.6593202270938,42.5,72.5,9059781
4/30/21,BMF9NM8,US00827B1061,BBG00Y7BP8Y1,AFRM,AFRM US,AFFIRM HLDGS INC,0.55,0.31,0.55,-0.36,8398998.9,621693898.58,0.0897,102039542.9,0.0823,5.84E+06,58.9878,5.0796904285411,4.65038187508028,2.6541792347026,42.5,52.5,8946380
5/3/21,BMF9NM8,US00827B1061,BBG00Y7BP8Y1,AFRM,AFRM US,AFFIRM HLDGS INC,0.55,0.31,0.47,0,8407157,592704568.5,0.0898,102047701,0.0824,5.75E+06,59.4074,4.95003950772549,4.87713526589665,2.67251735816404,42.5,42.5,9058061
5/4/21,BMF9NM8,US00827B1061,BBG00Y7BP8Y1,AFRM,AFRM US,AFFIRM HLDGS INC,0.53,0.31,0.58,-0.73,8434452.3,563252724.59,0.0901,102074996.3,0.0826,5.70E+06,59.6989,5.090271307654,5.05436252469667,2.69939271721521,45,35,9098227
5/5/21,BMF9NM8,US00827B1061,BBG00Y7BP8Y1,AFRM,AFRM US,AFFIRM HLDGS INC,0.55,0.32,0.55,0.75,8474444.7,526856227,0.0905,102114988.7,0.083,5.76E+06,59.5443,4.51513091540887,4.89297663169089,2.70174931798277,42.5,12.5,9025062
5/6/21,BMF9NM8,US00827B1061,BBG00Y7BP8Y1,AFRM,AFRM US,AFFIRM HLDGS INC,0.55,0.36,0.49,0,8580342,494227699.2,0.0917,102183636,0.084,5.85E+06,59.4788,3.80013587823042,4.59944948177849,2.71515976559422,40,0,9069947
5/7/21,BMF9NM8,US00827B1061,BBG00Y7BP8Y1,AFRM,AFRM US,AFFIRM HLDGS INC,0.55,0.37,0.54,0,8673984.1,472211694.4,0.0927,102277278.1,0.0848,5.66E+06,60.5004,3.44971225831289,4.46458313924491,2.73695725776195,40,0,9222390
5/10/21,BMF9NM8,US00827B1061,BBG00Y7BP8Y1,AFRM,AFRM US,AFFIRM HLDGS INC,0.55,0.36,0.42,0,8751537.1,472583003.4,0.0935,102354831.1,0.0855,5.43E+06,61.7417,3.39276034571389,4.42196705076284,2.7596534168757,40,0,9311494
